id,longitude,latitude,weight,volume
22,-9.1291254,38.7868157,,
6,-9.25,38.7,,
70650,-9.1669775,38.7382089,10.0,26400.0
70651,-9.1670851,38.7382425,0.5,40000.0
70653,-9.1670851,38.7382425,3.0,10050.0
70656,-9.1669775,38.7382089,1.0,40000.0
70658,-9.1670851,38.7382425,0.3,40000.0
70660,-9.1669775,38.7382089,1.0,40000.0
70662,-9.1670851,38.7382425,0.2,40000.0
70664,-9.1670851,38.7382425,1.0,40000.0
70666,-9.1669775,38.7382089,0.3,40000.0
70670,-9.1670851,38.7382425,3.0,10050.0
70671,-9.1670851,38.7382425,10.0,26400.0
70812,-9.3541318,38.7787192,7.0,10050.0
70816,-9.3541318,38.7787192,1.0,10050.0
70818,-9.3541318,38.7787192,3.0,10050.0
70822,-9.3541318,38.7787192,8.0,216000.0
70830,-9.1493312,38.7873349,2.0,26400.0
70835,-9.1493312,38.7873349,1.0,26400.0
70838,-9.1493312,38.7873349,1.0,26400.0
70840,-9.1493312,38.7873349,7.0,26400.0
70650,-9.1894658,38.6649835,-10.0,-26400.0
70651,-9.223552,38.7667258,-0.5,-40000.0
70653,-9.2793957,38.7536481,-3.0,-10050.0
70656,-9.0623443,38.6567033,-1.0,-40000.0
70658,-9.3009063,38.7626621,-0.3,-40000.0
70660,-9.1505456,38.6509555,-1.0,-40000.0
70662,-9.1003042,38.7737663,-0.2,-40000.0
70664,-9.3449269,38.7856349,-1.0,-40000.0
70666,-9.1182673,38.7507579,-0.3,-40000.0
70670,-9.4276582,38.8683681,-3.0,-10050.0
70671,-9.2009225,38.7557911,-10.0,-26400.0
70812,-9.142599,38.756608,-7.0,-10050.0
70816,-9.1720871,38.7508471,-1.0,-10050.0
70818,-9.257218,38.7540223,-3.0,-10050.0
70822,-9.3888054,38.7057544,-8.0,-216000.0
70830,-9.1735527,38.7124041,-2.0,-26400.0
70835,-9.232233,38.7061368,-1.0,-26400.0
70838,-9.1485524,38.7543517,-1.0,-26400.0
70840,-9.1434985,38.7103895,-7.0,-26400.0
